Local,Nombre,Precio,Cantidad
Metro,Rabanito Baby Hidropónico de Invernadero Ecologic Bandeja ,4.96,250g
Metro,Alcachofa con Espinas Metro,3.43, x unid
Metro,Maní Frito Salado,25.60, x kg
Metro,Ají Panca Despepitado Naturandes Bandeja ,8.00,100g
Metro,Lechuga Cultivada con Agua de Pozo La Caserita,3.30,1 unidad
Metro,Lechuga de Invernadero Oakleaf Don Miguel,6.60,1 unidad
Metro,Media Col China,5.69,1 unidad
Metro,Verduras Picadas para Sopa Mixta Cuisine & Co ,8.20,300g
Metro,Habas Picadas Cuisine & Co ,7.50,200g
Metro,Arvejas Picadas Cuisine & Co ,12.50,200g
Metro,Vainitas Picadas Cuisine & Co ,10.00,500g
Metro,Verduras Picadas para Estofado de Carne Cuisine & Co ,9.40,200g
Metro,Bebida de Chicha Morada Golden Botella ,4.90,485ml
Metro,Papa Tricolor Cocktail Agro Selecto ,7.04,800 g
Metro,Zanahoria Justo al Día ,4.16,700g
Metro,Papa Peruanita Agro Selecto ,7.04,1kg
Metro,Toronja Rubí Metro,5.59, x kg
Metro,Mixtura de Frutas x kg,36.00,Mix
Metro,Media Col Morada,4.79, x un
Metro,Mix de Lechuga Cuisine & Co 200g,5.40,Mix
Metro,Pulpa de Ciruela Agroselva ,8.60,250g
Metro,Verduras Picadas para Sopa Chake Cuisine & Co ,8.70,350g
Metro,Verduras Picadas para Menestrón Cuisine & Co ,8.70,300g
Metro,Verduras Picadas para Ensalada Sancochado Cuisine & Co ,10.40,800g
Metro,Verduras Picadas para Sopa Andina Cuisine & Co ,11.50,700g
Metro,Verduras Picadas para Ensalada de Brócolo Cuisine & Co ,9.40,500g
Metro,Néctar Tropical Bajo en Calorías Ecofresh Galón ,35.90,3.8L
Metro,Néctar de Naranja Bajo en Calorías Ecofresh Galón ,35.90,3.8L
Metro,Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella ,19.90,1.8L
Metro,Néctar de Naranja con Zanahoria Bajo en Calorías Ecofresh ,19.90,1.8L
Metro,Néctar Tropical Bajo en Calorías Ecofresh Botella ,19.90,1.8L
Metro,Néctar de Naranja Bajo en Calorías Ecofresh Botella ,19.90,1.8L
Metro,Néctar de Fresa con Naranja Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Naranja con Zanahoria Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Mandarina Bajo en Calorías Ecofresh Botella ,14.90,1L
Metro,Néctar de Piña Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Tuna con Piña Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Néctar de Naranja Bajo en Calorías Ecofresh Botella ,11.50,1L
Metro,Cebolla Blanca Agro Selecto ,7.52,2kg
Metro,Papaya en Trozos Natifrut ,4.99,180g
Metro,Berengena Hidropónica Ecológica,3.52, x Unidad
Metro,Mix Col y Zanahoria Ecologic 250 g,7.40,Mix
Metro,Zanahoria Rayada Ecologic ,5.04,300 g
Metro,Mix Nuts Premium x kg,60.00,Mix
Metro,Dátiles Deshidratados ,9.59,200g
Metro,Bebida de Piña y Granadilla Golden Botella ,4.50,485ml
Metro,Pulpa de Kiwi Agroselva,12.20,1 unidad
Metro,Lechuga Crespa Hidropónica Manantiales,3.40, x unid
Metro,Ajo Picado Mr. Ajo Bandeja ,8.29,150 g
Metro,Ajos Enteros Justo al Día ,10.32,700g
Metro,Rocoto Justo al Día ,13.28,700g
Metro,Ají Amarillo Justo al Día ,6.24,700g
Metro,Arúgula Silvestre Ecologic ,6.40,150 g
Metro,Papa Blanca Perricholi Procesada Agro Selecto,7.04,1 unidad
Metro,Puntas de Espárragos Paquete ,9.99,250 g
Metro,Pula de Fresa Agroselva Doypack 250g,9.20,Pack
Metro,Dátiles Medjool El Dátil ,21.00,300g
Metro,Agua de Piña con Arándanos Light Golden ,5.80,485ml
Metro,Sopa de Verduras Don Verde ,5.20,250g
Metro,Pulpa de Tuna Agroselva Doypack 250g,9.20,Pack
Metro,Toronja sin Pepa Metro,5.51, x kg
Metro,Mezcla para Preparar Chicha Morada Campo Lindo ,10.20,250g
Metro,Maíz Morado Campo Lindo ,18.20,1kg
Metro,Maní Tostado en Cáscara El Guaranguito Bolsa ,6.49,250 gr
Metro,Jugo de Naranja Pasteurizada Ecofresh Botella ,19.90,1.8L
Metro,Maní con Pasas,24.00, x kg
Metro,Pulpa de Arándanos Agroselva Doypack 250g,9.49,Pack
Metro,Pulpa de Melocotón Agroselva Doypack 250g,9.20,Pack
Metro,Pulpa de Granada Agroselva Doypack 250g,12.20,Pack
Metro,Pulpa de Guanábana Agroselva Doypack 250g,12.20,Pack
Metro,Pulpa de Tamarindo Agroselva Doypack 250g,9.20,Pack
Metro,Dátiles Frescos El Dátil Bandeja ,9.99,150 gr
Metro,Mix de Germinados Age Bandeja 100g,10.96,Mix
Metro,Ajos Pelados Mr. Ajo Bandeja ,5.83,150g
Metro,Ají Mirasol Despepitado Naturandes Bandeja ,8.00,100g
Metro,Acelga Don Miguel ,4.90,300g
Metro,Zapallo Loche,19.20, x kg
Metro,Huevos Pardos Metro ,9.50,15un
Metro,Pollo Entero Fresco Metro,10.25, x kg
Metro,Huevos Pardos Metro Bandeja ,18.99,30 Unid
Metro,Huevos Clásicos Pardos La Calera ,21.20,30un
Metro,Pollo con Menudencia Trozado Metro,10.39, x kg
Metro,Pechuga Especial de Pollo,17.75, x kg
Metro,Bisteck Bola de Lomo Nacional,39.90, x kg
Metro,Filete de Tilapia Umi Foods ,21.20,1kg
Metro,Filete de Pechuga de Pollo,25.79, x kg
Metro,Guiso de Cerdo,26.90, x kg
Metro,Nuggets de Pechuga de Pollo Redondos ,5.45,12un
Metro,Costillar Nacional,15.90, x kg
Metro,Chuleta Parrillera de Cerdo con Piel,16.90, x kg
Metro,Bisteck de Tapa Nacional,39.90, x kg
Metro,Sancochado Punta de Pecho Nacional,20.90, x kg
Metro,Huevos Pardos Metro Bandeja ,46.90,90 Unid
Metro,Hígado de Res Importado Trozado Metro,13.90, x kg
Metro,Medallón de Muslo de Pavita San Fernando,22.50, x kg
Metro,Pierna con Encuentro de Pollo,12.85, x kg
Metro,Nuggets de Pechuga de Pollo San Fernando ,13.49,24un
Metro,Bisteck de Tapa Nacional,36.90, x kg
Metro,Huevos Pardos Avinka Artisan ,13.90,15un
Metro,Huevos de Corral Metro ,11.99,12un
Metro,Huevo de Corral La Calera ,13.40,12un.
Metro,Sangrecita Sin Condimentos Redondos Bolsa ,6.39,500 g
Metro,Carne Molida Económica Congelada Los Hierros,10.90, x 500 g
Metro,Nuggets de Pollo con Quinua Avinka Bolsa ,9.45,300 g
Metro,Nuggets de Pollo con Brócoli y Queso Avinka Bolsa ,9.45,300 g
Metro,Carne Molida de Pavita San Fernando Bolsa ,15.90,500 g
Metro,Sangrecita Criolla ,7.45,500g
Metro,Chuleta de Pierna de Cerdo con Piel Porcionada,19.50, x kg
Metro,Sancochado de Osobuco Nacional Porcionado,19.70, x kg
Metro,Hamburguesas Súper de Pollo San Fernando ,9.96,14un
Metro,La Súper San Fernando ,14.90,14un
Metro,Filete de Trucha Arco Iris Bolsa ,22.32,500 g
Metro,Hamburguesas de Pollo Redondos ,9.96,14un
Metro,Crispy Nuggets de Pollo San Fernando Bolsa ,4.75,160 g
Metro,Nuggets de Pollo San Fernando Bolsa ,4.60,100 g
Metro,Hamburguesa de Res Otto Kunz ,25.90,8un
Metro,Mondongo Picado para Cau Cau,16.90, x kg
Metro,Tabletas de Perico Umi Foods ,9.90,500g
Metro,Filete de Tilapia Bolero ,30.50,500g
Metro,Carne Molida Económica Congelada Los Hierros,19.99, x 1 Kg
Metro,Filete de Pierna A La Italiana Avinka Bolsa ,16.90,330 g
Metro,Carne para Saltado de Res Nacional Metro,37.99, x Kg
Metro,Anticucho Bolsa ,15.90,500 g
Metro,Gallina Entera Con Menudencia Importada,8.89, x Kg
Metro,La Casera San Fernando ,15.50,14un
Metro,El Churrasquito de Carne Schilcayo ,16.90,14un
Metro,Deditos de Pechuga de Pollo Redondos ,11.29,15un
Metro,Chuleta de Lomo de Cerdo con Piel Porcionado,22.50, x kg
Metro,Sancochado de Pescuezo Nacional,22.30, x kg
Metro,Churrasco Largo Nacional Porcionado,33.90, x kg
Metro,Churrasco Redondo Nacional Porcionado,29.90, x kg
Metro,Pulmón Precocido para Chanfainita,12.90, x kg
Metro,Huevos Pardos Metro Bandeja ,86.90,180 Unid
Metro,Hamburguesa de Perico Umi Foods Caja ,20.90,500 g
Metro,Chuleta de Pechuga de Pavita San Fernando,29.50, x kg
Metro,Brazuelo de Pavita San Fernando,12.99, x kg
Metro,Filete de Trucha,36.40, x kg
Metro,Filete de Salmón Fresco,72.50, x kg
Metro,Hamburguesa Ranchera de Pollo Oregón Foods ,16.80,6un
Metro,Hamburguesa Casera de Pollo San Fernando ,11.28,14un
Metro,Dinonuggets San Fernando Bolsa ,5.75,200g
Metro,Huevos Gallinas Libres ,14.50,12un
Metro,Filete de Salmón Atlántico Aqua ,39.90,500g
Metro,Hamburguesa de Pollo Schilcayo El Churrasquito ,12.64,14 un.
Metro,Pechuga de Pavita en Trozos San Fernando,19.30, x Kg
Metro,Alitas de Pollo Redondo Sabor Brasa Caja ,14.99,400g
Metro,Nuggets Empanizados de Merluza Congelados Seafrost Bolsa ,22.50,1 Kg
Metro,Porciones de Merluza Empanizada Congelada Seafrost Bolsa ,21.50,1 Kg
Metro,Churrasco de Marucha de Res Porcionado,33.90, x kg
Metro,Choritos Cocidos Azul Marino Bolsa ,6.50,200 g
Metro,Langostino Extra Grande con cáscara Azul Marino Bolsa ,24.90,400 g
Metro,Langostino Chico Pelado Azul Marino Bolsa ,11.50,240 g
Metro,Langostinos Precocidos Congelados Azul Marino Bolsa ,13.90,200 g
Metro,Hamburguesas Premium Artesanales Clásicas Los Hierros Bolsa ,12.90,4 Unid / 340 g
Metro,Pollo Pollada San Fernando Bolsa ,16.30,800 g / 2 Cuartos de Pollo
Metro,Alitas de Pollo A La Barbecue Metro Bolsa ,28.99,1 Kg
Metro,Mixtura de Mariscos Congelada 400g,13.50,Mix
Metro,Panceta de Cerdo Con Piel y Con Hueso Congelado,27.90, x kg
Metro,Choriburger San Fernando ,16.90,12un
Metro,Tiras de Pechuga de Pollo Redondos ,11.79,8un
Metro,Cuadril Nacional,46.90, x kg
Metro,Asado de Tira con Hueso Nacional Porcionado,32.90, x kg
Metro,Hamburguesa de Res Metro Bolsa ,24.90,12un
Metro,Mixtura de Mariscos Metro x kg,23.50,Mix
Metro,Chuleta de Brazuelo con Piel de Cerdo,18.90, x kg
Metro,Panceta de Cerdo con Piel y con Hueso,27.90, x kg
Metro,Hamburguesas de Pollo Redondos ,5.16,6un
Metro,Hamburguesa Parrillera de Pollo Oregón Foods ,20.32,4un
Metro,Bonito Entero,9.90, x kg
Metro,Nuggets de Pavita con Cereales San Fernando  550g,16.70,24un
Metro,Pollo Entero Light,14.20, x kg
Metro,Hamburguesas de Pollo,13.52, x kg
Metro,Asado de Cerdo,25.90, x kg
Metro,Mondongo Picado a La Italiana,16.90, x kg
Metro,Alitas al Cilindro Bolsa ,21.90,1 Kg
Metro,Panceta de Cerdo con Piel y con Hueso en Tiras,28.90, x kg
Metro,Porciones de Perico A1 Bolsa ,39.90,500 g
Metro,Porciones de Atún A1 Bolsa ,39.90,680 g
Metro,Filete de Pechuga Honey Mustard Avinka Bolsa ,18.90,330 g
Metro,Hamburguesa Parrillera de Pollo Redondos Caja ,15.12,600g
Metro,Safari Nuggets de Pollo San Fernando Bolsa ,10.30,15 Unid
Metro,Guiso Especial Nacional,38.90, x kg
Metro,Conchas de Abanico con Coral Azul Marino ,38.50,500g
Metro,Pollo Enrollado De La Casa,37.45, x kg
Metro,Hamburguesas Parrilleras Oregón Foods Caja ,31.90,4un
Metro,Hamburguesa Parrillera de Res Otto Kunz ,27.50,4un
Metro,Hamburguesa de Res Otto Kunz Bolsa ,13.90,4 unid
Metro,Asado Ruso Wong Premium,43.50, x kg
Metro,Langostino Jumbo Santa Priscila ,48.50,454g
Metro,Chuleta de Hombro de Cerdo Duroc Redondos,29.50, x kg
Metro,Tilapia Roja Eviscerada,24.90, x kg
Metro,Conchas de Abanico Media Valva Parmesana Azul Marino ,14.90,6un
Metro,Wahoo en Porciones Congelado UMI Foods ,32.50,500g
Metro,Nuggets de Tilapia Marina Santa Priscila ,18.90,454g
Metro,Colas de Langostino Apanado Santa Priscila ,30.50,454g
Metro,Mini Hamburguesa Parrillera Otto Kunz ,27.59,600g
Metro,Mini Burgers de Res Oregon Foods Súper Rancheras ,24.20,12un.
Metro,Porciones de Perico Congelado Cuisine & Co ,27.90,500g
Metro,Porciones de Pez Espada Congelado Cuisine & Co ,29.50,500g
Metro,Porciones de Atún Congelado Cuisine & Co ,27.90,500g
Metro,Solomillo de Cerdo San Fernando,43.50, x kg
Metro,Panceta de Cerdo en Tiras con Piel y con Hueso San Fernando,35.90, x kg
Metro,Picaña Uruguaya Dos Caminos,102.99, x kg
Metro,Panceta de Cerdo en Tiras Sin Piel y con Hueso San Fernando,37.90, x kg
Metro,Muslitos a la BBQ Bolsa ,25.75,1 Kg
Metro,Mini Burger de Res Argentina Cuisine & Co ,33.90,12un
Metro,Hamburguesa de Res Argentina Cuisine & Co Burger ,39.90,4un
Metro,Chiri Entero,23.50,1 unidad
Metro,Tilapia Marina Entera Orgánica Santa Priscila Bolsa ,27.50,454 g
Metro,Langostinos Precocidos Grandes Santa Priscila ,26.50,363g
Metro,Anillas de Pota Empanizada Pescanova Bolsa ,17.50,500 g
Metro,Medallón de Lomo de Cerdo San Fernando,41.90, x kg
Metro,Pop Corn Chicken Avinka Bolsa ,17.90,450 g
Metro,Pejerrey Congelado H&G Pescanova Bolsa ,8.90,454 g
Metro,Panceta Sin Piel con Hueso en Tiras,29.90, x kg
Metro,Pulpa de Bondiola San Fernando,29.50, x Kg
Metro,Langostino Chico Pelado Azul Marino Bolsa ,19.90,400 g
Metro,Jalea Mixta Bolsa ,21.90,1 Kg
Metro,Muslos de Pollo Artisan,31.40, x Kg. Libre de Antibióticos
Metro,Anillas de Calamar Gigante A1 Selectas Bolsa ,18.50,500 g
Metro,Molida Vegana Cuisine & Co ,30.90,480g
Metro,Albóndiga Vegana Cuisine & Co ,30.50,480g
Metro,Hamburguesa Vegana Cuisine & Co ,30.50,4un
Metro,Hamburguesa Vegana Cuisine & Co ,7.90,1un
Metro,Cubos de Atún Umi Foods ,19.50,500g
Metro,Alitas de Pollo Picante Metro Bolsa ,28.99,1 Kg
